PUBCHEM_CID,canonical_smiles,standard_value_nM,Standard Type,activity_class
2807642.0,CCC1=CC2=C(S1)N=CN=C2SC3=NN=C(S3)N,546.0,EC50,1
3239884.0,CCOC(=O)C1=CC(=CC=C1)N2C(=NC(=NC2(C)C)N)N,147.7,EC50,1
98652.0,C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)C3=CC4=C(C=C3)N=C(N=C4N)N,97.3,EC50,1
198062.0,CC1=C2C(=CC=C1)N=C(N=C2N)N,753.0,EC50,1
4993.0,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,31.9,EC50,1
237.0,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,8.13,EC50,1
4735.0,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,66.19999999999999,EC50,1
2719.0,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,2.426,EC50,1
95783.0,C1=CC(=C(C=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl)Cl,1028.0,EC50,0
12456.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[Cl-],218.0,EC50,1
73442.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-],697.0,EC50,1
371256.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)O)OC)OC.[Cl-],939.0,EC50,1
444732.0,C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,200.2,EC50,1
2730436.0,C1=CC(=CC(=C1)Cl)NC2=NNC(=N2)N,1682.0,EC50,0
2812.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,280.2,EC50,1
124348.0,COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=C3,411.0,EC50,1
101711.0,CCC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,299.4,EC50,1
2757.0,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,43.5,EC50,1
10841.0,C1=CC(=CC=C1N)NC2=CC=C(C=C2)N,319.0,EC50,1
94975.0,CN(C)C1=CC2=C(C=C1)N(C3=C(S2)C=C(C=C3)N(C)C)C(=O)C4=CC=CC=C4,217.70000000000002,EC50,1
161091.0,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3N2,1060.0,EC50,0
4930.0,CC(C)NCC(C1=CC2=CC=CC=C2C=C1)O,455.0,EC50,1
4932.0,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,252.1,EC50,1
93114.0,CCC1=C(C(=NC(=N1)N)N)C2=CC=CC=C2,1553.0,EC50,0
4335.0,CC(=O)NC(CO)C(C1=CC=C(C=C1)[N+](=O)[O-])O,9720.0,EC50,0
3081361.0,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,1919.0,EC50,0
817938.0,C1=CC=C(C=C1)C(=O)NCC(=O)OC2=CC=C(C=C2)Cl,537.0,EC50,1
68841.0,C([C@@H](C(=O)O)N)OP(=O)(O)O,1080.0,EC50,0
4046.0,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,24.819999999999997,EC50,1
4626.0,C1C(CN(C1=O)CC(=O)N)O,5960.0,EC50,0
68736.0,C1CN[C@@H](C[C@@H]1CP(=O)(O)O)C(=O)O,1317.0,EC50,0
235224.0,CN1CCC2=CC3=C(C4=C2C1CC5=CC=CC=C54)OCO3,93.10000000000001,EC50,1
