name,smiles,predicted_activity,MolWt,MolLogP,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,RingCount
Lipoic acid,O=C(O)CCCC[C@@H]1CCSS1,active,206.332,2.7851000000000017,5,3,1,37.3,1
Pravastatin,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,active,424.5340000000002,2.4404000000000003,10,6,4,124.29,2
Nicotine,CN1CCC[C@H]1c1cccnc1,active,162.236,1.8483,1,2,0,16.130000000000003,2
Cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1,active,199.31899999999993,1.5602,0,3,0,12.47,4
Trospium,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,active,392.519,3.769700000000003,4,3,1,46.53,5
Pantoprazole,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,active,383.37600000000003,2.8843000000000005,7,6,1,86.33,3
Torasemide,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,active,348.4280000000001,2.5299199999999997,5,5,3,100.19,2
Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,active,324.39900000000006,3.812980000000003,5,3,0,36.26,3
Eletriptan,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,active,382.5290000000001,3.8210000000000024,6,3,1,53.17,4
Moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,active,401.4380000000002,2.3705000000000007,4,6,2,83.80000000000001,5
Glimepiride,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,active,490.6260000000003,3.0740000000000016,7,5,3,124.68,3
Lovastatin,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,active,404.54700000000025,4.195500000000004,6,5,1,72.83,3
Benzatropine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,active,307.43700000000007,4.417800000000004,4,2,0,12.47,4
Ziprasidone,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,active,412.9460000000002,3.809000000000002,4,5,1,48.470000000000006,5
Methysergide,CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,active,353.4660000000001,1.9351,4,4,2,57.5,4
Chlorambucil,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,active,304.217,3.377900000000002,9,2,1,40.54,1
Bupivacaine,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,active,288.43500000000006,3.8965400000000026,5,2,1,32.34,2
Ertapenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,active,475.52300000000025,0.9407000000000005,7,7,5,156.26999999999998,4
Zolmitriptan,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,active,287.36299999999994,1.9229,5,3,2,57.36,3
Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,active,446.9100000000004,4.275600000000003,8,7,1,68.74000000000001,4
Ipratropium,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,active,332.464,2.8541000000000016,5,3,1,46.53,3
Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,active,312.4420000000001,3.4392200000000033,0,5,1,30.870000000000005,4
Diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,active,414.52700000000016,3.368500000000002,6,6,0,59.080000000000005,3
Alfuzosin,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,active,389.4560000000002,1.3507000000000002,8,8,2,111.83,3
Methylergometrine,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,active,339.4390000000002,1.9247,4,3,3,68.36,4
Trihexyphenidyl,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,active,301.47400000000016,4.330500000000004,5,2,1,23.47,3
Tacrine,Nc1c2c(nc3ccccc13)CCCC2,active,198.26899999999992,2.695800000000001,0,2,1,38.91,3
Oxyphencyclimine,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,active,344.4550000000002,2.731700000000001,5,5,1,62.129999999999995,3
Procyclidine,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,active,287.4470000000001,3.940400000000003,5,2,1,23.47,3
Acetohexamide,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,active,324.4020000000001,2.2098000000000004,4,4,2,92.34,2
Promazine,CN(C)CCCN1c2ccccc2Sc2ccccc21,active,284.42800000000005,4.241000000000003,4,3,0,6.48,3
Hyoscyamine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,active,289.37500000000006,1.9308999999999996,4,4,1,49.769999999999996,3
Cyproheptadine,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,active,287.4060000000001,4.697900000000004,0,1,0,3.24,4
Lansoprazole,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,active,369.3680000000001,3.515220000000001,5,4,1,67.87,3
Prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,active,383.40800000000024,1.7845999999999997,4,8,1,106.95,4
Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,active,280.415,3.8750000000000027,4,2,0,6.48,3
Ketorolac,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,active,255.27299999999997,2.291,3,3,1,59.3,3
Hexylcaine,CC(CNC1CCCCC1)OC(=O)c1ccccc1,active,261.365,3.154200000000002,5,3,1,38.33,2
Brimonidine,Brc1c(NC2=NCCN2)ccc2nccnc12,active,292.14000000000004,1.7633999999999999,1,5,2,62.2,3
Darifenacin,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,active,426.5600000000003,3.957500000000003,7,3,1,55.56,5
Levallorphan,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,active,283.415,3.6366000000000023,2,2,1,23.47,4
Tridihexethyl,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1,active,318.5250000000002,4.721100000000004,8,1,1,20.23,2
Cinchocaine,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,active,343.471,3.4853000000000023,10,4,1,54.46,2
Cyclophosphamide,O=P1(N(CCCl)CCCl)NCCCO1,active,261.089,1.884,5,2,1,41.57000000000001,1
Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,active,331.34700000000004,1.5833,3,5,2,74.57,4
Benazepril,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,active,424.49700000000024,2.5731,9,5,2,95.94,3
Doxapram,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,active,378.5160000000001,3.173300000000001,6,3,0,32.78,4
Atropine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,active,289.37500000000006,1.9308999999999996,4,4,1,49.769999999999996,3
Doxazosin,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,active,451.4830000000003,1.7177999999999993,4,9,1,112.27000000000001,5
Cisapride,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,active,465.9530000000003,3.358100000000002,9,6,2,86.05,3
Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,active,493.6150000000002,4.590320000000004,7,7,2,86.28000000000002,5
Efavirenz,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,active,315.67799999999994,4.073100000000001,0,2,1,38.33,3
Simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,active,418.57400000000024,4.585600000000005,6,5,1,72.83,3
Latanoprost,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,active,432.60100000000017,4.186400000000005,13,5,3,86.99000000000001,2
Trazodone,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,active,371.8720000000001,2.3617,5,6,0,45.78,4
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,active,308.3330000000001,3.609600000000003,4,4,1,67.50999999999999,3
Mycophenolate mofetil,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,active,433.5010000000003,2.52402,9,8,1,94.53000000000002,3
Moexipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,active,498.5760000000004,2.5843,11,7,2,114.40000000000002,3
Phentolamine,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,active,281.35900000000004,2.840420000000001,4,4,2,47.86,3
Fluorescein,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,active,332.31100000000004,3.6658000000000017,0,5,2,75.99000000000001,5
Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,active,330.749,1.8907,5,5,3,122.63000000000001,2
Tizanidine,Clc1ccc2nsnc2c1NC1=NCCN1,active,253.718,1.7157999999999993,1,6,2,62.2,3
Delavirdine,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,active,456.5720000000002,2.7171000000000003,6,6,3,110.43,4
Apomorphine,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,active,267.328,2.8499000000000025,0,3,2,43.7,4
Paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,active,329.3710000000001,3.326500000000002,4,4,1,39.72,4
Nedocromil,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,active,371.34500000000014,2.476700000000001,5,6,2,126.80999999999997,3
Azatadine,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,active,290.4100000000001,3.7077000000000027,0,2,0,16.130000000000003,4
Thiabendazole,c1ccc2[nH]c(-c3cscn3)nc2c1,active,201.254,2.6864,1,3,1,41.57,3
Nateglinide,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,active,317.42900000000014,3.2609000000000012,6,2,2,66.4,2
Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,active,410.4930000000003,3.5904200000000026,4,6,0,64.16,5
Epinastine,NC1=NCC2c3ccccc3Cc3ccccc3N12,active,249.31699999999998,2.4668,0,3,1,41.62,4
Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,active,398.4000000000001,3.7016000000000013,6,7,3,141.31,3
Biperiden,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,active,311.46900000000005,3.9624000000000033,5,2,1,23.47,4
Fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,active,336.47900000000004,4.136700000000004,6,2,0,23.550000000000004,3
Tadalafil,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,active,389.4110000000002,2.2112999999999996,1,4,1,74.87,6
Donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,active,379.50000000000017,4.361100000000004,6,4,0,38.77,4
Levorphanol,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,active,257.377,3.080400000000002,0,2,1,23.47,4
Loteprednol etabonate,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,active,466.95800000000025,3.9165000000000028,4,7,1,99.13000000000001,4
Quinapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,active,438.5240000000003,2.5671,9,5,2,95.94000000000001,3
Omapatrilat,O=C(N[C@H]1CCS[C@H]2CCC[C@@H](C(=O)O)N2C1=O)[C@@H](S)Cc1ccccc1,active,408.5450000000001,1.9409999999999996,5,5,3,86.71000000000001,3
Bimatoprost,CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,active,415.5740000000001,3.146900000000002,12,4,4,89.79,2
Quinidine,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,active,324.4240000000001,3.1732000000000014,4,4,1,45.59,5
Almotriptan,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,active,335.4730000000002,2.1975999999999996,6,3,1,56.410000000000004,3
Mesoridazine,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,active,386.5860000000001,4.901100000000005,4,4,0,23.55,4
Maprotiline,CNCCCC12CCC(c3ccccc31)c1ccccc12,active,277.41100000000006,4.211400000000004,4,1,1,12.03,5
Cycrimine,OC(CCN1CCCCC1)(c1ccccc1)C1CCCC1,active,287.4470000000001,3.940400000000003,5,2,1,23.47,3
Naratriptan,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,active,335.4730000000001,2.0687999999999995,5,3,2,65.2,3
Rizatriptan,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,active,269.35200000000003,1.9118000000000002,5,4,1,49.74,3
Azelastine,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,active,381.9070000000002,4.297500000000004,3,4,0,38.13,4
Ramelteon,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,active,259.34899999999993,2.5676000000000005,4,2,1,38.33,3
Glycopyrronium,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,active,318.43700000000024,2.4562999999999997,4,3,1,46.53,3
Levobupivacaine,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,active,288.43500000000006,3.8965400000000026,5,2,1,32.34,2
Clobetasol propionate,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,active,466.97700000000026,4.103100000000003,4,5,1,80.67,4
Glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,active,494.0130000000003,3.641700000000003,8,5,3,113.6,3
Carphenazine,CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,active,425.5980000000002,3.8820000000000032,8,6,1,47.02000000000001,4
Gatifloxacin,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,active,375.40000000000015,1.9804,4,6,2,83.80000000000001,4
Lubiprostone,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1,active,390.4670000000003,4.309900000000003,11,4,2,83.83,2
Fluocinonide,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,active,494.53100000000023,2.9376000000000015,3,7,1,99.13000000000001,5
Acetophenazine,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,active,411.5710000000001,3.491900000000002,7,6,1,47.02000000000001,4
Glipizide,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,active,445.54500000000024,2.0781199999999993,7,6,3,130.14999999999998,3
Emedastine,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,active,302.422,2.2146999999999997,5,5,0,33.53,3
Iloprost,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,active,360.4940000000001,3.541300000000003,8,3,3,77.76,2
Oxamniquine,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,active,279.34,1.8117999999999996,5,5,3,87.42999999999999,2
